Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",0603,2,4u7,
"C2_2, C2",0603,2,100n,
"J1_2, J1",FPC-SMD_5034801200,2,Conn_01x12_MountingPin,
"J2_2, J2",IDC-Header_2x06_P2.54mm_Vertical,2,IDC,
"Q2_2, Q2",SOT-23,2,BSS138,
"R1_2, R1",0603,2,10R,
"R2_2, R2, R3_2, R3, R4_2, R4",0603,6,10k,
"SW2_2, SW2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,EC11E18244AU,
"U1_2, U1",SOT-23,2,APX803S-31SA-7,C129757
