Designator,Mid X,Mid Y,Rotation,Layer
C66,138.5,-107.5,90.0,top
C67,118.0,-107.5,90.0,top
C68,137.0,-44.5,270.0,top
C69,116.5,-44.5,270.0,top
C7,70.7,-76.8,0.0,top
C70,130.3,-63.6,180.0,top
C71,112.0,-44.5,270.0,top
C72,91.5,-44.5,270.0,top
C73,115.6,-63.6,180.0,top
C74,87.0,-44.5,270.0,top
C75,66.5,-44.5,270.0,top
C76,61.7,-58.9,0.0,top
C77,62.0,-44.5,270.0,top
C78,41.8,-44.8,270.0,top
C79,49.7,-58.9,0.0,top
C8,66.9,-68.3,90.0,top
C80,96.6,-70.25,0.0,top
C81,96.6,-68.1,0.0,top
C82,85.4,-69.25,90.0,top
C83,85.4,-72.25,270.0,top
C84,96.6,-71.75,0.0,top
C85,96.6,-73.9,0.0,top
C86,86.2,-67.0,180.0,top
C87,82.9,-73.9,0.0,top
C88,89.6,-77.2,270.0,top
C9,63.5,-68.1,90.0,top
D1,52.9,-101.5,270.0,top
D10,70.6,-90.3,90.0,top
D11,92.2,-81.6,180.0,top
D12,87.6,-81.6,0.0,top
D13,91.4,-65.8,90.0,top
D2,99.3,-102.8,270.0,top
D3,95.5,-102.8,270.0,top
D4,103.1,-102.8,270.0,top
D5,106.9,-102.8,270.0,top
D6,99.3,-107.8,270.0,top
D7,95.5,-107.8,270.0,top
D8,103.1,-107.8,270.0,top
D9,106.9,-107.8,270.0,top
FID1,48.0,-34.0,0.0,top
FID2,132.0,-34.0,0.0,top
FID3,48.0,-118.0,0.0,top
FID4,132.0,-118.0,0.0,top
IC1,90.4,-71.0,90.0,top
J1,83.5,-108.5,0.0,top
J10,56.06,-49.715,0.0,top
J11,52.415,-49.58,0.0,top
J12,45.23,-83.5,0.0,top
J13,62.01,-97.0,90.0,top
J2,50.5,-108.0,0.0,top
J3,124.68,-102.5825,180.0,top
J4,131.06,-49.715,0.0,top
J5,127.415,-49.58,0.0,top
J6,106.06,-49.715,0.0,top
J7,102.415,-49.58,0.0,top
J8,81.06,-49.715,0.0,top
J9,77.415,-49.58,0.0,top
L1,54.3,-73.0,270.0,top
L2,70.1,-97.2,270.0,top
L3,132.5,-84.5,180.0,top
L4,83.8,-69.0,270.0,top
L5,82.9,-72.25,0.0,top
LED1,138.4,-110.5,180.0,top
LED10,41.6,-41.5,0.0,top
LED2,118.3,-110.5,180.0,top
LED3,136.7,-41.5,0.0,top
LED4,116.6,-41.5,0.0,top
LED5,111.7,-41.5,0.0,top
LED6,91.6,-41.5,0.0,top
LED7,86.7,-41.5,0.0,top
LED8,66.6,-41.5,0.0,top
LED9,61.7,-41.5,0.0,top
R1,55.5,-94.0,90.0,top
R10,130.1,-74.3,270.0,top
R11,128.6,-74.3,270.0,top
R12,136.4,-74.3,270.0,top
R13,134.9,-74.3,270.0,top
R14,117.3,-85.0,180.0,top
R15,117.3,-83.5,180.0,top
R16,68.1,-91.7,270.0,top
R17,113.6,-68.2,180.0,top
R18,91.9,-100.2,90.0,top
R19,75.8,-99.2,180.0,top
R2,54.2,-70.4,0.0,top
R20,90.4,-100.2,270.0,top
R21,75.8,-102.2,0.0,top
R22,72.3,-101.0,270.0,top
R23,72.3,-104.0,270.0,top
R24,96.21,-99.2,180.0,top
R25,99.21,-99.2,0.0,top
R26,129.5,-59.8,270.0,top
R27,114.8,-59.8,270.0,top
R28,62.5,-62.7,90.0,top
R29,50.5,-62.7,90.0,top
R3,88.6,-105.8,180.0,top
R30,128.0,-61.4,270.0,top
R31,113.3,-61.4,270.0,top
R32,63.3,-60.4,180.0,top
R33,51.3,-60.4,180.0,top
R34,131.0,-60.8,90.0,top
R35,116.3,-60.8,90.0,top
R36,61.0,-61.7,270.0,top
R37,49.0,-61.7,270.0,top
R38,96.6,-76.0,0.0,top
R39,96.6,-77.5,0.0,top
R4,54.2,-75.1,0.0,top
R40,92.6,-77.2,270.0,top
R41,91.1,-77.2,270.0,top
R5,54.2,-76.1,0.0,top
R6,73.8,-75.8,180.0,top
R7,53.2,-94.8,0.0,top
R8,53.2,-93.3,180.0,top
R9,124.1,-78.2,180.0,top
RN1,104.1,-88.2,180.0,top
RN2,123.5,-85.5,0.0,top
RN3,124.1,-75.6,90.0,top
SW1,78.3,-109.0,180.0,top
SW2,88.7,-109.0,180.0,top
T1,83.0,-90.5,180.0,top
U1,63.0,-76.0,180.0,top
U10,56.5,-61.0,270.0,top
U11,44.5,-61.0,270.0,top
U12,42.0,-49.2,270.0,top
U2,54.2,-87.8,0.0,top
U3,50.0,-101.5,270.0,top
U4,117.0,-76.0,180.0,top
U5,83.4,-101.6,0.0,top
U6,98.4,-94.7,90.0,top
U7,75.29,-104.65,0.0,top
U8,135.5,-61.5,90.0,top
U9,120.8,-61.5,90.0,top
Y1,76.6,-75.9,90.0,top
Y2,117.3,-87.5,0.0,top
